iter	RMSE
0	3705.247572
1	3411.408092
2	3139.372037
3	2895.33281
4	2662.344036
5	2458.149604
6	2272.613619
7	2100.314977
8	1948.092192
9	1811.387888
10	1684.594963
11	1571.722757
12	1470.773518
13	1379.651017
14	1297.910657
15	1226.095985
16	1159.727835
17	1103.117503
18	1048.210618
19	1001.263101
20	958.8925183
21	919.9259939
22	886.5911112
23	857.3366814
24	829.2746945
25	804.6407465
26	783.8742879
27	765.7211298
28	748.7751996
29	734.6623232
30	721.3477017
31	709.2945739
32	699.4689559
33	689.8591257
34	682.2627968
35	674.6479201
36	667.6944614
37	661.96581
38	656.247513
39	650.651934
40	646.0769452
41	642.0469123
42	638.2793879
43	634.8417871
44	631.7367835
45	629.0795035
46	626.8044578
47	623.6770541
48	621.5885681
49	619.694648
50	617.1737054
51	615.1437875
52	613.6359118
53	612.2769663
54	610.8929298
55	609.5498308
56	608.0885072
57	606.5182412
58	605.1103363
59	604.067387
60	603.1222374
61	601.9891779
62	601.1558206
63	600.3634262
64	599.4710335
65	598.7606284
66	598.0536743
67	597.4005838
68	596.9949276
69	595.9195732
70	595.1714255
71	594.1798688
72	593.6093876
73	592.8359716
74	592.3858315
75	591.8160515
76	591.2396108
77	590.7368187
78	590.218592
79	589.8884808
80	589.3661519
81	589.0386974
82	588.5654052
83	588.3036752
84	588.0210007
85	587.6266659
86	587.2760911
87	586.8448607
88	586.4441384
89	586.2308209
90	585.626162
91	585.3447599
92	585.1756595
93	584.7957663
94	584.6022178
95	584.2152536
96	583.9579232
97	583.698383
98	583.5235752
99	583.1683554
100	583.0710892
101	582.866728
102	582.4865418
103	582.2351775
104	581.9796001
105	581.5966523
106	581.3084601
107	581.0514082
108	580.872112
109	580.7072517
110	580.4914057
111	580.2737396
112	580.092743
113	579.8650951
114	579.7205227
115	579.3756222
116	579.283767
117	579.1495829
118	578.8968261
119	578.6866007
120	578.427047
121	578.3066229
122	578.2075327
123	577.9867778
124	577.8116805
125	577.7223271
126	577.5914516
127	577.3798767
128	577.2153168
129	577.1269473
130	577.0014452
131	576.812634
132	576.6620258
133	576.4913612
134	576.3256289
135	576.1743572
136	575.9589078
137	575.8393605
138	575.7337385
139	575.558876
140	575.4187797
141	575.3027976
142	575.164306
143	575.0512128
144	574.9274014
145	574.7848698
146	574.5742781
147	574.4874073
148	574.3882584
149	574.3091273
150	574.1540149
151	574.0720355
152	573.9638013
153	573.8481147
154	573.7251403
155	573.6276097
156	573.4603766
157	573.316049
158	573.2261224
159	573.0205126
160	572.9216378
161	572.7810735
162	572.6108155
163	572.4980142
164	572.416753
165	572.320148
166	572.1662695
167	572.030177
168	571.8285679
169	571.6910894
170	571.6297415
171	571.4541682
172	571.2828593
173	571.165955
174	571.1044114
175	570.9689278
176	570.8432822
177	570.7547921
178	570.7264407
179	570.6429387
180	570.4865965
181	570.3077777
182	570.2829137
183	570.2254917
184	570.2229175
185	570.1016954
186	569.9714344
187	569.9094049
188	569.814072
189	569.7704038
190	569.6726752
191	569.5906985
192	569.3711797
193	569.2714138
194	569.1843405
195	569.1632201
196	569.0643773
197	568.9447272
