iter	Passed	Remaining
0	178	177840
1	222	110869
2	346	115057
3	490	122174
4	578	115130
5	706	117042
6	805	114334
7	879	109100
8	949	104538
9	1023	101370
10	1087	97807
11	1132	93230
12	1180	89638
13	1226	86354
14	1277	83919
15	1317	81004
16	1363	78850
17	1411	76979
18	1453	75063
19	1514	74199
20	1572	73306
21	1629	72420
22	1783	75778
23	1946	79137
24	2058	80269
25	2162	81029
26	2256	81320
27	2405	83508
28	2595	86917
29	2739	88583
30	2825	88311
31	2902	87804
32	2987	87549
33	3044	86512
34	3115	85891
35	3177	85084
36	3231	84112
37	3287	83224
38	3344	82407
39	3409	81836
40	3473	81252
41	3538	80721
42	3596	80037
43	3643	79167
44	3684	78183
45	3726	77289
46	3847	78015
47	3914	77634
48	3975	77148
49	4046	76877
50	4108	76446
51	4158	75805
52	4209	75220
53	4277	74935
54	4344	74651
55	4398	74142
56	4462	73820
57	4527	73532
58	4587	73161
59	4640	72695
60	4710	72509
61	4757	71969
62	4811	71562
63	4898	71645
64	5415	77895
65	5532	78294
66	5684	79155
67	5744	78737
68	5780	77994
69	5822	77352
70	5858	76652
71	5898	76026
72	5955	75629
73	6004	75131
74	6076	74943
75	6139	74645
76	6202	74352
77	6277	74201
78	6313	73603
79	6355	73089
80	6423	72883
81	6498	72754
82	6552	72393
83	6639	72397
84	6732	72477
85	6903	73370
86	7064	74132
87	7242	75056
88	7395	75702
89	7521	76045
90	7668	76604
91	7813	77118
92	7857	76629
93	7899	76136
94	7980	76023
95	8027	75592
96	8059	75026
97	8093	74489
98	8138	74068
99	8214	73929
100	8256	73490
101	8288	72970
102	8320	72464
103	8357	72003
104	8406	71655
105	8459	71344
106	8532	71212
107	8576	70833
108	8609	70380
109	8675	70195
110	8712	69777
111	8758	69445
112	8812	69170
113	8893	69116
114	8939	68796
115	8983	68457
116	9017	68052
117	9054	67674
118	9120	67524
119	9177	67298
120	9217	66962
121	9257	66623
122	9303	66332
123	9371	66206
124	9414	65899
125	9453	65571
126	9514	65401
127	9606	65443
128	9640	65095
129	9688	64835
130	9730	64549
131	9769	64238
132	9829	64077
133	9875	63823
134	9922	63578
135	9969	63334
136	10014	63083
137	10083	62982
138	10119	62684
139	10147	62333
140	10190	62082
141	10252	61946
142	10294	61692
143	10349	61521
144	10394	61289
145	10479	61296
146	10517	61030
147	10554	60761
148	10606	60577
149	10667	60449
150	10752	60455
151	10806	60290
152	10846	60046
153	10880	59769
154	10919	59530
155	10985	59435
156	11050	59334
157	11105	59184
158	11180	59135
159	11229	58954
160	11264	58701
161	11313	58520
162	11349	58281
163	11394	58085
164	11428	57834
165	11468	57620
166	11507	57401
167	11541	57157
168	11575	56920
169	11645	56858
170	11688	56667
171	11727	56456
172	11775	56291
173	11816	56096
174	11896	56081
175	11977	56076
176	12127	56388
177	12329	56938
178	12425	56992
179	12554	57192
180	12607	57048
181	12679	56987
182	12724	56806
183	12772	56641
184	12832	56531
185	12874	56344
186	12935	56236
187	12994	56123
188	13072	56095
189	13106	55875
190	13149	55693
191	13190	55509
192	13259	55440
193	13304	55274
194	13353	55127
195	13391	54933
196	13433	54758
197	13489	54637
198	13526	54447
199	13564	54258
200	13597	54050
201	13631	53851
202	13677	53700
203	13716	53522
204	13779	53437
205	13813	53243
206	13864	53112
207	13941	53086
208	14000	52987
209	14033	52793
210	14072	52622
211	14143	52571
212	14176	52381
213	14213	52203
214	14255	52047
215	14294	51883
216	14327	51697
217	14377	51575
218	14405	51372
219	14449	51230
220	14506	51133
221	14534	50937
222	14584	50816
223	14632	50690
224	14667	50522
225	14707	50369
226	14763	50275
227	14797	50102
228	14825	49915
229	14860	49750
